127.0.0.1_29001 -> 12:49:03.776319 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:03.805731 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:03.838203 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:03.867340 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:03.899614 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:03.928726 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:03.961337 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:03.990631 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:04.022800 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:04.051804 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:04.084076 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:04.113260 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:04.145689 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:04.174917 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:04.207424 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:04.236750 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:04.269060 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:04.298287 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:04.330481 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:04.359559 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:04.392167 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:04.421523 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:04.453796 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:04.483194 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:04.515429 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:04.544781 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:04.577177 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:04.606567 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:04.639219 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:04.667367 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:04.701019 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:04.729231 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:04.762287 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:04.790653 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:04.823796 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:04.853092 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:04.885234 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:04.914409 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:04.946912 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:04.976202 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:05.008154 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:05.037509 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:05.069947 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:05.098953 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:05.131230 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:05.160770 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:05.192786 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:05.222230 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:05.254610 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:05.283530 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:05.315855 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:05.345191 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:05.377549 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:05.406652 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:05.439172 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:05.468571 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:05.500145 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:05.530554 raft.go:442: TICKER representante de nodo 1
127.0.0.1_29001 -> 12:49:05.561961 raft.go:442: TICKER representante de nodo 2
127.0.0.1_29001 -> 12:49:05.591590 raft.go:442: TICKER representante de nodo 1
